gameId,teamId,playerStint,pos,competitionId,updated,playerId,fullName,teamMarket,teamName,conferenceId,flowStints,cStart,cEnd,sStart,sEnd,gameFlowPeriod,periodNumber,secs,ptsScored,ptsAgst,netPts,cDiff
2168345,105491,27,2,33535,2022-11-20 22:26:08.000000 UTC,1321390,Zia Cooke,South Carolina,Gamecocks,89,20,02:04,00:14,2276.0,2385.1,4,4,109.1,5,0,5,01:49
2168345,105491,28,2,33535,2022-11-20 22:26:08.000000 UTC,1689293,Bree Hall,South Carolina,Gamecocks,89,21-22-23-24,00:14,00:00,2385.5,2400.0,4,4,14.5,2,1,1,00:15
2168345,105491,29,2,33535,2022-11-20 22:26:08.000000 UTC,1689293,Bree Hall,South Carolina,Gamecocks,89,25-26-27-28,05:00,00:00,2400.0,2700.0,5,1,300.0,15,10,5,05:00
2168345,105491,30,3,33535,2022-11-20 22:26:08.000000 UTC,1321392,Brea Beal,South Carolina,Gamecocks,89,1-2-3-4-5,10:00,00:00,0.0,600.0,1,1,600.0,11,21,-10,10:00
2168345,105491,31,3,33535,2022-11-20 22:26:08.000000 UTC,1321392,Brea Beal,South Carolina,Gamecocks,89,6-7,10:00,07:08,600.0,772.0,2,2,172.0,4,2,2,02:52
2168345,105491,32,3,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,8-9,07:08,04:46,772.0,914.0,2,2,142.0,2,4,-2,02:22
2168345,105491,33,3,33535,2022-11-20 22:26:08.000000 UTC,1689293,Bree Hall,South Carolina,Gamecocks,89,10,04:46,01:11,914.0,1129.0,2,2,215.0,13,7,6,03:35
2168345,105491,34,3,33535,2022-11-20 22:26:08.000000 UTC,1321392,Brea Beal,South Carolina,Gamecocks,89,11-12,01:11,00:00,1129.0,1200.0,2,2,71.0,1,1,0,01:11
2168345,105491,35,3,33535,2022-11-20 22:26:08.000000 UTC,1321392,Brea Beal,South Carolina,Gamecocks,89,13-14-15,10:00,01:00,1200.0,1740.0,3,3,540.0,13,17,-4,09:00
2168345,105491,36,3,33535,2022-11-20 22:26:08.000000 UTC,1689293,Bree Hall,South Carolina,Gamecocks,89,16,01:00,00:00,1740.0,1800.0,3,3,60.0,0,2,-2,01:00
2168345,105491,37,3,33535,2022-11-20 22:26:08.000000 UTC,1321392,Brea Beal,South Carolina,Gamecocks,89,17-18-19-20-21-22-23-24,10:00,00:00,1800.0,2400.0,4,4,599.6,17,7,10,09:00
2168345,105491,38,3,33535,2022-11-20 22:26:08.000000 UTC,1321392,Brea Beal,South Carolina,Gamecocks,89,25-26-27-28,05:00,00:00,2400.0,2700.0,5,1,300.0,15,10,5,05:00
2168345,105491,39,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,1,10:00,05:56,0.0,244.0,1,1,244.0,6,7,-1,04:04
2168345,105491,40,4,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,2,05:56,04:56,244.0,304.0,1,1,60.0,0,0,0,01:00
2168345,105491,41,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,3-4,04:56,02:20,304.0,460.0,1,1,156.0,3,12,-9,02:36
2168345,105491,42,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,5,02:20,00:00,460.0,600.0,1,1,140.0,2,2,0,02:20
2168345,105491,43,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,6-7,10:00,07:08,600.0,772.0,2,2,172.0,4,2,2,02:52
2168345,105491,44,4,33535,2022-11-20 22:26:08.000000 UTC,1913006,Ashlyn Watkins,South Carolina,Gamecocks,89,8,07:08,06:07,772.0,833.0,2,2,61.0,2,2,0,01:01
2168345,105491,45,4,33535,2022-11-20 22:26:08.000000 UTC,1689291,Sania Feagin,South Carolina,Gamecocks,89,9-10,06:07,01:11,833.0,1129.0,2,2,296.0,13,9,4,04:56
2168345,105491,46,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,11-12,01:11,00:00,1129.0,1200.0,2,2,71.0,1,1,0,01:11
2168345,105491,47,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,13-14,10:00,04:16,1200.0,1544.0,3,3,344.0,9,13,-4,05:44
2168345,105491,48,4,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,15,04:16,01:00,1544.0,1740.0,3,3,196.0,4,4,0,03:16
2168345,105491,49,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,16,01:00,00:00,1740.0,1800.0,3,3,60.0,0,2,-2,01:00
2168345,105491,50,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,17-18-19-20,10:00,00:14,1800.0,2385.1,4,4,585.1,15,6,9,09:45
2168345,105491,51,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,21,00:14,00:12,2385.5,2387.5,4,4,2.0,0,0,0,00:02
2168345,105491,52,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,22,00:12,00:06,2387.5,2394.0,4,4,6.5,0,1,-1,00:07
2168345,105491,53,4,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,23,00:06,00:02,2394.0,2397.9,4,4,3.9,2,0,2,00:04
2168345,105491,54,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,24,00:02,00:00,2397.9,2400.0,4,4,2.1,0,0,0,00:02
2168345,105491,55,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,25,05:00,00:28,2400.0,2671.2,5,1,271.2,12,8,4,04:31
2168345,105491,56,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,26,00:28,00:27,2671.2,2672.8,5,1,1.6,0,2,-2,00:02
2168345,105491,57,4,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,27,00:27,00:10,2672.8,2690.0,5,1,17.2,0,0,0,00:17
2168345,105491,58,4,33535,2022-11-20 22:26:08.000000 UTC,957639,Victaria Saxton,South Carolina,Gamecocks,89,28,00:10,00:00,2690.0,2700.0,5,1,10.0,3,0,3,00:10
2168345,105491,59,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,1,10:00,05:56,0.0,244.0,1,1,244.0,6,7,-1,04:04
2168345,105491,60,5,33535,2022-11-20 22:26:08.000000 UTC,1615279,Kamilla Cardoso,South Carolina,Gamecocks,89,2-3,05:56,02:47,244.0,433.0,1,1,189.0,3,9,-6,03:09
2168345,105491,61,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,4,02:47,02:20,433.0,460.0,1,1,27.0,0,3,-3,00:27
2168345,105491,62,5,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,5,02:20,00:00,460.0,600.0,1,1,140.0,2,2,0,02:20
2168345,105491,63,5,33535,2022-11-20 22:26:08.000000 UTC,1913006,Ashlyn Watkins,South Carolina,Gamecocks,89,6-7,10:00,07:08,600.0,772.0,2,2,172.0,4,2,2,02:52
2168345,105491,64,5,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,8-9-10,07:08,01:11,772.0,1129.0,2,2,357.0,15,11,4,05:57
2168345,105491,65,5,33535,2022-11-20 22:26:08.000000 UTC,1615279,Kamilla Cardoso,South Carolina,Gamecocks,89,11-12,01:11,00:00,1129.0,1200.0,2,2,71.0,1,1,0,01:11
2168345,105491,66,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,13-14,10:00,04:16,1200.0,1544.0,3,3,344.0,9,13,-4,05:44
2168345,105491,67,5,33535,2022-11-20 22:26:08.000000 UTC,1615279,Kamilla Cardoso,South Carolina,Gamecocks,89,15-16,04:16,00:00,1544.0,1800.0,3,3,256.0,4,6,-2,04:16
2168345,105491,68,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,17-18-19-20,10:00,00:14,1800.0,2385.1,4,4,585.1,15,6,9,09:45
2168345,105491,69,5,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,21,00:14,00:12,2385.5,2387.5,4,4,2.0,0,0,0,00:02
2168345,105491,70,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,22,00:12,00:06,2387.5,2394.0,4,4,6.5,0,1,-1,00:07
2168345,105491,71,5,33535,2022-11-20 22:26:08.000000 UTC,1615279,Kamilla Cardoso,South Carolina,Gamecocks,89,23,00:06,00:02,2394.0,2397.9,4,4,3.9,2,0,2,00:04
2168345,105491,72,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,24,00:02,00:00,2397.9,2400.0,4,4,2.1,0,0,0,00:02
2168345,105491,73,5,33535,2022-11-20 22:26:08.000000 UTC,1321388,Aliyah Boston,South Carolina,Gamecocks,89,25,05:00,00:28,2400.0,2671.2,5,1,271.2,12,8,4,04:31
2168345,105491,74,5,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,26,00:28,00:27,2671.2,2672.8,5,1,1.6,0,2,-2,00:02
2168345,105491,75,5,33535,2022-11-20 22:26:08.000000 UTC,1615279,Kamilla Cardoso,South Carolina,Gamecocks,89,27,00:27,00:10,2672.8,2690.0,5,1,17.2,0,0,0,00:17
2168345,105491,76,5,33535,2022-11-20 22:26:08.000000 UTC,1321394,Laeticia Amihere,South Carolina,Gamecocks,89,28,00:10,00:00,2690.0,2700.0,5,1,10.0,3,0,3,00:10
