rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2174183-105632-28,28,2174183,31,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1320951-958626-1928823-1928817-1612047,3,3,1797.5,1800.0,00:02,00:00,2.5,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,00:03,1,0,,,,0.0,0.8,0.4,,1.25,,false
2174183-105632-29,29,2174183,32,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1320951-958626-1928812-1928823-1612047,4,4,1800.0,1878.0,10:00,08:42,78.0,4,0,4,1,3,1,3,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,01:18,1,0,0.3333,,1.0,1.6599999999999997,2.0,1.83,2.4096,0.0,2.4096,false
2174183-105632-30,30,2174183,33,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1928823-1612047,4,4,1878.0,1986.0,08:42,06:54,108.0,6,0,6,2,2,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,01:48,0,0,1.0,,1.0,2.8,3.0,2.9,2.1429,0.0,2.1429,true
2174183-105632-31,31,2174183,34,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1928822-1612047,4,4,1986.0,2128.0,06:54,04:32,142.0,0,2,-2,0,2,0,2,0,0,0,0,0,0,0,1,0,1,3,1,2,0,1,0,0,1,0,2,1,02:22,1,3,0.0,,,2.0,2.9299999999999997,2.465,0.0,0.6826,-0.6826,false
2174183-105632-32,32,2174183,35,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1928817-1612047,4,4,2128.0,2284.0,04:32,01:56,156.0,7,1,6,2,4,1,2,1,2,2,2,2,1,0,3,0,0,2,0,2,0,0,2,0,1,0,2,0,02:36,3,2,0.5,0.5,1.0,4.8,3.8,4.3,1.4583,0.2632,1.1952,true
2174183-105632-33,33,2174183,36,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1928822-1612047,4,4,2284.0,2301.0,01:56,01:39,17.0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,00:17,0,0,,,0.5,0.8,0.8,0.8,1.25,1.25,0.0,false
2174183-105632-34,34,2174183,37,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1320952-1928822,4,4,2301.0,2322.0,01:39,01:18,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:21,0,0,,,,0.0,0.0,0.0,,,,false
2174183-105632-35,35,2174183,38,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1928817-1612047,4,4,2322.0,2335.0,01:18,01:05,13.0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,00:13,0,0,,,,0.0,0.8,0.4,,2.5,,false
2174183-105632-36,36,2174183,39,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1320952-1928817,4,4,2335.0,2362.3,01:05,00:37,27.3,2,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,00:27,1,0,,,1.0,0.8,1.0,0.9,2.5,0.0,2.5,false
2174183-105632-37,37,2174183,40,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-958626-1928812-1928817-1612047,4,4,2362.3,2378.3,00:37,00:21,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:16,0,0,,,,0.0,0.0,0.0,,,,false
