rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2168345-105491-14,14,2168345,16,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1321392-957639-1321388,3,3,1411.0,1544.0,06:29,04:16,133.0,3,3,0,1,3,1,1,0,2,1,1,0,0,1,3,0,1,5,0,2,1,3,0,1,0,0,2,1,02:13,3,3,1.0,0.0,1.0,4.4,3.9299999999999997,4.165,0.6818,0.7634,-0.0815,true
2168345-105491-15,15,2168345,17,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1321392-1321388-1615279,3,3,1544.0,1740.0,04:16,01:00,196.0,4,4,0,1,3,1,3,0,0,2,4,0,0,0,2,0,2,6,2,5,0,1,0,0,1,0,2,2,03:16,2,4,0.3333,,0.5,4.6,4.8599999999999994,4.73,0.8696,0.823,0.0465,true
2168345-105491-16,16,2168345,18,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1689294-1321390-1689293-1321394-1615279,3,3,1740.0,1800.0,01:00,00:00,60.0,0,2,-2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0,0,1,0,01:00,1,1,0.0,,,1.0,2.0,1.5,0.0,1.0,-1.0,false
2168345-105491-17,17,2168345,19,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321394-1321388,4,4,1800.0,2115.0,10:00,04:45,315.0,6,0,6,3,6,3,6,0,0,0,0,1,2,3,4,0,0,8,0,6,0,2,0,0,5,2,3,2,05:15,4,5,0.5,,,9.0,10.146666666666667,9.5733,0.6667,0.0,0.6667,true
2168345-105491-18,18,2168345,20,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321386-1321390-1321392-1321394-1321388,4,4,2115.0,2148.0,04:45,04:12,33.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,00:33,1,1,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,false
2168345-105491-19,19,2168345,21,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321394-1321388,4,4,2148.0,2276.0,04:12,02:04,128.0,4,6,-2,1,4,1,3,0,1,2,2,0,0,0,2,1,1,2,1,2,0,0,5,1,0,0,2,0,02:08,3,2,0.3333,0.0,1.0,3.7299999999999995,4.0,3.865,1.0724,1.5,-0.4276,true
2168345-105491-20,20,2168345,22,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321386-1321390-1321392-1321394-1321388,4,4,2276.0,2385.1,02:04,00:14,109.10000000000001,5,0,5,2,6,1,2,1,4,0,0,1,0,0,1,3,0,1,0,0,0,1,0,0,1,0,1,0,01:49,4,1,0.5,0.25,,2.79,2.0,2.395,1.7921,0.0,1.7921,false
2168345-105491-21,21,2168345,23,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-957639-1321394,4,4,2385.5,2387.5,00:14,00:12,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:02,0,0,,,,0.0,0.0,0.0,,,,false
2168345-105491-22,22,2168345,24,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321394-1321388,4,4,2387.5,2394.0,00:12,00:06,6.5,0,1,-1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,00:07,1,0,0.0,,,-0.070000000000000062,0.8,0.365,0.0,1.25,-1.25,false
2168345-105491-23,23,2168345,25,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321388-1615279,4,4,2394.0,2397.9,00:06,00:02,3.9,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:04,0,0,1.0,,,1.0,0.0,0.5,2.0,,,false
